Local,Resultado,Visitante,Ganador
Millonarios,,Deportivo Pasto,
Atlético Nacional,,Santa Fe,
Deportivo Pasto,,Atlético Nacional,
Santa Fe,,Millonarios,
Deportivo Pasto,,Santa Fe,
Millonarios,,Atlético Nacional,
Santa Fe,,Deportivo Pasto,
Atlético Nacional,,Millonarios,
Atlético Nacional,,Deportivo Pasto,
Millonarios,,Santa Fe,
Deportivo Pasto,,Millonarios,
Santa Fe,,Atlético Nacional,
Once Caldas,,Deportes Tolima,
Junior,,América de Cali,
América de Cali,,Once Caldas,
Deportes Tolima,,Junior,
Deportes Tolima,,América de Cali,
Once Caldas,,Junior,
América de Cali,,Deportes Tolima,
Junior,,Once Caldas,
Junior,,Deportes Tolima,
Once Caldas,,América de Cali,
Deportes Tolima,,Once Caldas,
América de Cali,,Junior,
